X,Y,Z,rayon_capteur,Xnorm,Ynorm,Znorm, Orientation
1200,620,1000,2.5,0,0,1,Upward
1200,770,1000,2.5,0,0,1,Upward
1200,1070,1000,2.5,0,0,1,Upward
1200,1220,1000,2.5,0,0,1,Upward
1200,920,1000,2.5,0,0,1,Upward
1200,920,1000,2.5,0,1,0,Sideward
1200,920,1050,2.5,0,0,1,Upward
1200,920,1050,2.5,0,1,0,Sideward
1200,920,1100,2.5,0,0,1,Upward
1200,920,1100,2.5,0,1,0,Sideward
1200,920,1150,2.5,0,0,1,Upward
1200,920,1150,2.5,0,1,0,Sideward
1200,920,1200,2.5,0,0,1,Upward
1200,920,1200,2.5,0,1,0,Sideward
1200,920,1250,2.5,0,0,1,Upward
1200,920,1250,2.5,0,1,0,Sideward
1200,920,1300,2.5,0,0,1,Upward
1200,920,1300,2.5,0,1,0,Sideward
1200,920,1350,2.5,0,0,1,Upward
1200,920,1350,2.5,0,1,0,Sideward
1200,920,1400,2.5,0,0,1,Upward
1200,920,1400,2.5,0,1,0,Sideward
1200,470,1150,2.5,0,1,0,Sideward
1200,620,1150,2.5,0,1,0,Sideward
1200,770,1150,2.5,0,1,0,Sideward
1200,1070,1150,2.5,0,1,0,Sideward
1200,1220,1150,2.5,0,1,0,Sideward
1200,1370,1150,2.5,0,1,0,Sideward
1200,620,1000,2.5,0,0,1,Upward
1200,770,1000,2.5,0,0,1,Upward
1200,1070,1000,2.5,0,0,1,Upward
1200,1220,1000,2.5,0,0,1,Upward
1200,920,1000,2.5,0,0,1,Upward
1200,920,1000,2.5,0,1,0,Sideward
1200,920,1050,2.5,0,0,1,Upward
1200,920,1050,2.5,0,1,0,Sideward
1200,920,1100,2.5,0,0,1,Upward
1200,920,1100,2.5,0,1,0,Sideward
1200,920,1150,2.5,0,0,1,Upward
1200,920,1150,2.5,0,1,0,Sideward
1200,920,1200,2.5,0,0,1,Upward
1200,920,1200,2.5,0,1,0,Sideward
1200,920,1250,2.5,0,0,1,Upward
1200,920,1250,2.5,0,1,0,Sideward
1200,920,1300,2.5,0,0,1,Upward
1200,920,1300,2.5,0,1,0,Sideward
1200,920,1350,2.5,0,0,1,Upward
1200,920,1350,2.5,0,1,0,Sideward
1200,920,1400,2.5,0,0,1,Upward
1200,920,1400,2.5,0,1,0,Sideward
1200,470,1150,2.5,0,1,0,Sideward
1200,620,1150,2.5,0,1,0,Sideward
1200,770,1150,2.5,0,1,0,Sideward
1200,1070,1150,2.5,0,1,0,Sideward
1200,1220,1150,2.5,0,1,0,Sideward
1200,1370,1150,2.5,0,1,0,Sideward
1200,620,1000,2.5,0,0,1,Upward
1200,770,1000,2.5,0,0,1,Upward
1200,1070,1000,2.5,0,0,1,Upward
1200,1220,1000,2.5,0,0,1,Upward
1200,920,1000,2.5,0,0,1,Upward
1200,920,1000,2.5,0,1,0,Sideward
1200,920,1050,2.5,0,0,1,Upward
1200,920,1050,2.5,0,1,0,Sideward
1200,920,1100,2.5,0,0,1,Upward
1200,920,1100,2.5,0,1,0,Sideward
1200,920,1150,2.5,0,0,1,Upward
1200,920,1150,2.5,0,1,0,Sideward
1200,920,1200,2.5,0,0,1,Upward
1200,920,1200,2.5,0,1,0,Sideward
1200,920,1250,2.5,0,0,1,Upward
1200,920,1250,2.5,0,1,0,Sideward
1200,920,1300,2.5,0,0,1,Upward
1200,920,1300,2.5,0,1,0,Sideward
1200,920,1350,2.5,0,0,1,Upward
1200,920,1350,2.5,0,1,0,Sideward
1200,920,1400,2.5,0,0,1,Upward
1200,920,1400,2.5,0,1,0,Sideward
1200,470,1150,2.5,0,1,0,Sideward
1200,620,1150,2.5,0,1,0,Sideward
1200,770,1150,2.5,0,1,0,Sideward
1200,1070,1150,2.5,0,1,0,Sideward
1200,1220,1150,2.5,0,1,0,Sideward
1200,1370,1150,2.5,0,1,0,Sideward
1200,620,1000,2.5,0,0,1,Upward
1200,770,1000,2.5,0,0,1,Upward
1200,1070,1000,2.5,0,0,1,Upward
1200,1220,1000,2.5,0,0,1,Upward
1200,920,1000,2.5,0,0,1,Upward
1200,920,1000,2.5,0,1,0,Sideward
1200,920,1050,2.5,0,0,1,Upward
1200,920,1050,2.5,0,1,0,Sideward
1200,920,1100,2.5,0,0,1,Upward
1200,920,1100,2.5,0,1,0,Sideward
1200,920,1150,2.5,0,0,1,Upward
1200,920,1150,2.5,0,1,0,Sideward
1200,920,1200,2.5,0,0,1,Upward
1200,920,1200,2.5,0,1,0,Sideward
1200,920,1250,2.5,0,0,1,Upward
1200,920,1250,2.5,0,1,0,Sideward
1200,920,1300,2.5,0,0,1,Upward
1200,920,1300,2.5,0,1,0,Sideward
1200,920,1350,2.5,0,0,1,Upward
1200,920,1350,2.5,0,1,0,Sideward
1200,920,1400,2.5,0,0,1,Upward
1200,920,1400,2.5,0,1,0,Sideward
1200,470,1150,2.5,0,1,0,Sideward
1200,620,1150,2.5,0,1,0,Sideward
1200,770,1150,2.5,0,1,0,Sideward
1200,1070,1150,2.5,0,1,0,Sideward
1200,1220,1150,2.5,0,1,0,Sideward
1200,1370,1150,2.5,0,1,0,Sideward
1200,620,1000,2.5,0,0,1,Upward
1200,770,1000,2.5,0,0,1,Upward
1200,1070,1000,2.5,0,0,1,Upward
1200,1220,1000,2.5,0,0,1,Upward
1200,920,1000,2.5,0,0,1,Upward
1200,920,1000,2.5,0,1,0,Sideward
1200,920,1050,2.5,0,0,1,Upward
1200,920,1050,2.5,0,1,0,Sideward
1200,920,1100,2.5,0,0,1,Upward
1200,920,1100,2.5,0,1,0,Sideward
1200,920,1150,2.5,0,0,1,Upward
1200,920,1150,2.5,0,1,0,Sideward
1200,920,1200,2.5,0,0,1,Upward
1200,920,1200,2.5,0,1,0,Sideward
1200,920,1250,2.5,0,0,1,Upward
1200,920,1250,2.5,0,1,0,Sideward
1200,920,1300,2.5,0,0,1,Upward
1200,920,1300,2.5,0,1,0,Sideward
1200,920,1350,2.5,0,0,1,Upward
1200,920,1350,2.5,0,1,0,Sideward
1200,920,1400,2.5,0,0,1,Upward
1200,920,1400,2.5,0,1,0,Sideward
1200,470,1150,2.5,0,1,0,Sideward
1200,620,1150,2.5,0,1,0,Sideward
1200,770,1150,2.5,0,1,0,Sideward
1200,1070,1150,2.5,0,1,0,Sideward
1200,1220,1150,2.5,0,1,0,Sideward
1200,1370,1150,2.5,0,1,0,Sideward
1200,620,1000,2.5,0,0,1,Upward
1200,770,1000,2.5,0,0,1,Upward
1200,1070,1000,2.5,0,0,1,Upward
1200,1220,1000,2.5,0,0,1,Upward
1200,920,1000,2.5,0,0,1,Upward
1200,920,1000,2.5,0,1,0,Sideward
1200,920,1050,2.5,0,0,1,Upward
1200,920,1050,2.5,0,1,0,Sideward
1200,920,1100,2.5,0,0,1,Upward
1200,920,1100,2.5,0,1,0,Sideward
1200,920,1150,2.5,0,0,1,Upward
1200,920,1150,2.5,0,1,0,Sideward
1200,920,1200,2.5,0,0,1,Upward
1200,920,1200,2.5,0,1,0,Sideward
1200,920,1250,2.5,0,0,1,Upward
1200,920,1250,2.5,0,1,0,Sideward
1200,920,1300,2.5,0,0,1,Upward
1200,920,1300,2.5,0,1,0,Sideward
1200,920,1350,2.5,0,0,1,Upward
1200,920,1350,2.5,0,1,0,Sideward
1200,920,1400,2.5,0,0,1,Upward
1200,920,1400,2.5,0,1,0,Sideward
1200,470,1150,2.5,0,1,0,Sideward
1200,620,1150,2.5,0,1,0,Sideward
1200,770,1150,2.5,0,1,0,Sideward
1200,1070,1150,2.5,0,1,0,Sideward
1200,1220,1150,2.5,0,1,0,Sideward
1200,1370,1150,2.5,0,1,0,Sideward
1200,620,1000,2.5,0,0,1,Upward
1200,770,1000,2.5,0,0,1,Upward
1200,1070,1000,2.5,0,0,1,Upward
1200,1220,1000,2.5,0,0,1,Upward
1200,920,1000,2.5,0,0,1,Upward
1200,920,1000,2.5,0,1,0,Sideward
1200,920,1050,2.5,0,0,1,Upward
1200,920,1050,2.5,0,1,0,Sideward
1200,920,1100,2.5,0,0,1,Upward
1200,920,1100,2.5,0,1,0,Sideward
1200,920,1150,2.5,0,0,1,Upward
1200,920,1150,2.5,0,1,0,Sideward
1200,920,1200,2.5,0,0,1,Upward
1200,920,1200,2.5,0,1,0,Sideward
1200,920,1250,2.5,0,0,1,Upward
1200,920,1250,2.5,0,1,0,Sideward
1200,920,1300,2.5,0,0,1,Upward
1200,920,1300,2.5,0,1,0,Sideward
1200,920,1350,2.5,0,0,1,Upward
1200,920,1350,2.5,0,1,0,Sideward
1200,920,1400,2.5,0,0,1,Upward
1200,920,1400,2.5,0,1,0,Sideward
1200,470,1150,2.5,0,1,0,Sideward
1200,620,1150,2.5,0,1,0,Sideward
1200,770,1150,2.5,0,1,0,Sideward
1200,1070,1150,2.5,0,1,0,Sideward
1200,1220,1150,2.5,0,1,0,Sideward
1200,1370,1150,2.5,0,1,0,Sideward
1200,620,1000,2.5,0,0,1,Upward
1200,770,1000,2.5,0,0,1,Upward
1200,1070,1000,2.5,0,0,1,Upward
1200,1220,1000,2.5,0,0,1,Upward
1200,920,1000,2.5,0,0,1,Upward
1200,920,1000,2.5,0,1,0,Sideward
1200,920,1050,2.5,0,0,1,Upward
1200,920,1050,2.5,0,1,0,Sideward
1200,920,1100,2.5,0,0,1,Upward
1200,920,1100,2.5,0,1,0,Sideward
1200,920,1150,2.5,0,0,1,Upward
1200,920,1150,2.5,0,1,0,Sideward
1200,920,1200,2.5,0,0,1,Upward
1200,920,1200,2.5,0,1,0,Sideward
1200,920,1250,2.5,0,0,1,Upward
1200,920,1250,2.5,0,1,0,Sideward
1200,920,1300,2.5,0,0,1,Upward
1200,920,1300,2.5,0,1,0,Sideward
1200,920,1350,2.5,0,0,1,Upward
1200,920,1350,2.5,0,1,0,Sideward
1200,920,1400,2.5,0,0,1,Upward
1200,920,1400,2.5,0,1,0,Sideward
1200,470,1150,2.5,0,1,0,Sideward
1200,620,1150,2.5,0,1,0,Sideward
1200,770,1150,2.5,0,1,0,Sideward
1200,1070,1150,2.5,0,1,0,Sideward
1200,1220,1150,2.5,0,1,0,Sideward
1200,1370,1150,2.5,0,1,0,Sideward
1200,620,1000,2.5,0,0,1,Upward
1200,770,1000,2.5,0,0,1,Upward
1200,1070,1000,2.5,0,0,1,Upward
1200,1220,1000,2.5,0,0,1,Upward
1200,920,1000,2.5,0,0,1,Upward
1200,920,1000,2.5,0,1,0,Sideward
1200,920,1050,2.5,0,0,1,Upward
1200,920,1050,2.5,0,1,0,Sideward
1200,920,1100,2.5,0,0,1,Upward
1200,920,1100,2.5,0,1,0,Sideward
1200,920,1150,2.5,0,0,1,Upward
1200,920,1150,2.5,0,1,0,Sideward
1200,920,1200,2.5,0,0,1,Upward
1200,920,1200,2.5,0,1,0,Sideward
1200,920,1250,2.5,0,0,1,Upward
1200,920,1250,2.5,0,1,0,Sideward
1200,920,1300,2.5,0,0,1,Upward
1200,920,1300,2.5,0,1,0,Sideward
1200,920,1350,2.5,0,0,1,Upward
1200,920,1350,2.5,0,1,0,Sideward
1200,920,1400,2.5,0,0,1,Upward
1200,920,1400,2.5,0,1,0,Sideward
1200,470,1150,2.5,0,1,0,Sideward
1200,620,1150,2.5,0,1,0,Sideward
1200,770,1150,2.5,0,1,0,Sideward
1200,1070,1150,2.5,0,1,0,Sideward
1200,1220,1150,2.5,0,1,0,Sideward
1200,1370,1150,2.5,0,1,0,Sideward
1200,620,1000,2.5,0,0,1,Upward
1200,770,1000,2.5,0,0,1,Upward
1200,1070,1000,2.5,0,0,1,Upward
1200,1220,1000,2.5,0,0,1,Upward
1200,920,1000,2.5,0,0,1,Upward
1200,920,1000,2.5,0,1,0,Sideward
1200,920,1050,2.5,0,0,1,Upward
1200,920,1050,2.5,0,1,0,Sideward
1200,920,1100,2.5,0,0,1,Upward
1200,920,1100,2.5,0,1,0,Sideward
1200,920,1150,2.5,0,0,1,Upward
1200,920,1150,2.5,0,1,0,Sideward
1200,920,1200,2.5,0,0,1,Upward
1200,920,1200,2.5,0,1,0,Sideward
1200,920,1250,2.5,0,0,1,Upward
1200,920,1250,2.5,0,1,0,Sideward
1200,920,1300,2.5,0,0,1,Upward
1200,920,1300,2.5,0,1,0,Sideward
1200,920,1350,2.5,0,0,1,Upward
1200,920,1350,2.5,0,1,0,Sideward
1200,920,1400,2.5,0,0,1,Upward
1200,920,1400,2.5,0,1,0,Sideward
1200,470,1150,2.5,0,1,0,Sideward
1200,620,1150,2.5,0,1,0,Sideward
1200,770,1150,2.5,0,1,0,Sideward
1200,1070,1150,2.5,0,1,0,Sideward
1200,1220,1150,2.5,0,1,0,Sideward
1200,1370,1150,2.5,0,1,0,Sideward
1200,620,1000,2.5,0,0,1,Upward
1200,770,1000,2.5,0,0,1,Upward
1200,1070,1000,2.5,0,0,1,Upward
1200,1220,1000,2.5,0,0,1,Upward
1200,920,1000,2.5,0,0,1,Upward
1200,920,1000,2.5,0,1,0,Sideward
1200,920,1050,2.5,0,0,1,Upward
1200,920,1050,2.5,0,1,0,Sideward
1200,920,1100,2.5,0,0,1,Upward
1200,920,1100,2.5,0,1,0,Sideward
1200,920,1150,2.5,0,0,1,Upward
1200,920,1150,2.5,0,1,0,Sideward
1200,920,1200,2.5,0,0,1,Upward
1200,920,1200,2.5,0,1,0,Sideward
1200,920,1250,2.5,0,0,1,Upward
1200,920,1250,2.5,0,1,0,Sideward
1200,920,1300,2.5,0,0,1,Upward
1200,920,1300,2.5,0,1,0,Sideward
1200,920,1350,2.5,0,0,1,Upward
1200,920,1350,2.5,0,1,0,Sideward
1200,920,1400,2.5,0,0,1,Upward
1200,920,1400,2.5,0,1,0,Sideward
1200,470,1150,2.5,0,1,0,Sideward
1200,620,1150,2.5,0,1,0,Sideward
1200,770,1150,2.5,0,1,0,Sideward
1200,1070,1150,2.5,0,1,0,Sideward
1200,1220,1150,2.5,0,1,0,Sideward
1200,1370,1150,2.5,0,1,1,Sideward
1200,620,1000,2.5,0,0,1,Upward
1200,770,1000,2.5,0,0,1,Upward
1200,1070,1000,2.5,0,0,1,Upward
1200,1220,1000,2.5,0,0,1,Upward
1200,920,1000,2.5,0,0,1,Upward
1200,920,1000,2.5,0,1,0,Sideward
1200,920,1050,2.5,0,0,1,Upward
1200,920,1050,2.5,0,1,0,Sideward
1200,920,1100,2.5,0,0,1,Upward
1200,920,1100,2.5,0,1,0,Sideward
1200,920,1150,2.5,0,0,1,Upward
1200,920,1150,2.5,0,1,0,Sideward
1200,920,1200,2.5,0,0,1,Upward
1200,920,1200,2.5,0,1,0,Sideward
1200,920,1250,2.5,0,0,1,Upward
1200,920,1250,2.5,0,1,0,Sideward
1200,920,1300,2.5,0,0,1,Upward
1200,920,1300,2.5,0,1,0,Sideward
1200,920,1350,2.5,0,0,1,Upward
1200,920,1350,2.5,0,1,0,Sideward
1200,920,1400,2.5,0,0,1,Upward
1200,920,1400,2.5,0,1,0,Sideward
1200,470,1150,2.5,0,1,0,Sideward
1200,620,1150,2.5,0,1,0,Sideward
1200,770,1150,2.5,0,1,0,Sideward
1200,1070,1150,2.5,0,1,0,Sideward
1200,1220,1150,2.5,0,1,0,Sideward
1200,1370,1150,2.5,0,1,0,Sideward
